compound_id,mean
5,-239.40189549999974
6,-2812.340837500007
7,16.445420220250014
8,-3087.3729499999954
9,-3058.37194
10,-1947.0337875000068
11,-2250.1649999999954
12,-1095.003500000002
13,-2224.303622500003
14,-1965.3085375000012
15,-3091.755560000003
16,-386.0400245000004
17,-1036.5111499999994
18,-80.03138115000007
20,-2485.7358199999962
21,-326.31697524999953
22,-792.1897614999979
23,-3227.5196225000036
24,-134.12807950000007
25,-470.80624999999924
27,-681.3543054999982
28,-365.5563787499996
31,-376.64257199999963
32,-2471.4983050000023
33,-1350.1507924999996
34,-367.37385274999986
35,-2181.1136724999974
39,-516.0974712500004
40,-2258.261170000002
41,-350.5081625000001
43,-915.8037097500014
44,-698.3162285000017
48,-797.6052532500003
49,-3113.5165774999955
51,-3342.5575900000017
52,-3140.9319000000055
53,-520.9538077499992
55,-344.0515604999997
56,-125.11862999999957
57,-928.9310500000008
58,-743.8965265000018
60,-590.0795284999991
61,-322.7368922500001
63,-3131.398842499985
64,-1336.5731724999982
66,-468.5289315000002
67,-280.6403045
70,-1269.0861824999977
71,-1289.8750674999965
72,-137.79391375000023
73,-400.59916099999907
74,-1294.3911074999983
75,-355.8812660000006
77,-1573.0107125000006
78,-3131.731607500001
79,-1829.0335824999975
81,-3220.6219800000017
82,-3321.5985350000037
83,-3126.468067499999
84,0.019633444714999865
85,-164.19898825000024
86,-3331.2490700000008
87,-3545.280742499995
88,-602.4047239999987
89,-118.63916999999995
91,-206.96489425000001
92,-844.8628112499974
101,-73.69983422500019
102,-253.89734750000068
104,-79.07672982499999
106,-1562.3501849999961
107,-316.37959325000105
109,-1598.0693674999975
110,-194.33529549999957
112,-1322.2894374999992
113,-3352.940640000006
117,-1259.2199149999997
118,-1509.103244999997
119,-1004.5661577500027
123,-1162.3980375000024
124,-1834.5102
125,-3337.1025049999876
126,-181.2872272500002
127,119.76074417499986
130,-1221.7583599999998
132,-345.9898962500005
134,-524.0186207500004
135,-883.7232842499992
136,-364.7218462499994
137,-1596.130527499996
139,-523.0505522499977
140,14.404520389499968
142,-2.7308386862774965
143,-1823.178104999999
144,-2306.9671299999954
145,-511.7807499999981
146,-480.83786875000015
148,-367.3713444999998
149,-175.47032724999997
150,-236.07685225000077
151,-470.7159034999988
152,-1762.8711224999981
157,-1578.1755050000013
158,79.98957137499998
159,-1566.7914724999957
160,308.291962
161,19.893925214250018
163,-466.29246675000036
164,-491.9934770000005
165,-117.41340625000035
167,-336.53900849999957
168,-19.83485993124993
169,-515.0541687499997
172,-912.0926254999988
173,-717.2383472500009
176,-1598.9156249999987
177,-1040.1266750000004
179,-670.0911597499982
181,-366.6581807500002
183,-1564.5205249999992
184,17.69852407766252
185,-4.551413106867999
187,-1580.7038799999934
188,-354.62158700000043
191,-448.70110850000145
195,-108.85014639999982
196,-1398.9522875000025
